,Date,Coal_Future_Price
916,2014-07-07,72.9
917,2014-07-08,72.8
918,2014-07-09,72.4
919,2014-07-10,72.4
920,2014-07-11,72.4
921,2014-07-12,72.4
922,2014-07-13,72.4
923,2014-07-14,72.8
924,2014-07-15,72.85
925,2014-07-16,72.8
926,2014-07-17,72.95
927,2014-07-18,73.0
928,2014-07-19,73.0
929,2014-07-20,73.0
930,2014-07-21,73.1
931,2014-07-22,73.25
932,2014-07-23,73.45
933,2014-07-24,73.6
934,2014-07-25,73.5
935,2014-07-26,73.5
936,2014-07-27,73.5
937,2014-07-28,78.45
938,2014-07-29,77.45
939,2014-07-30,76.45
940,2014-07-31,76.3
941,2014-08-01,76.3
942,2014-08-02,76.3
943,2014-08-03,76.3
944,2014-08-04,76.6
945,2014-08-05,77.0
946,2014-08-06,77.25
947,2014-08-07,77.85
948,2014-08-08,78.25
949,2014-08-09,78.25
950,2014-08-10,78.25
951,2014-08-11,77.55
952,2014-08-12,77.4
953,2014-08-13,77.45
954,2014-08-14,76.85
955,2014-08-15,77.65
956,2014-08-16,77.65
957,2014-08-17,77.65
958,2014-08-18,76.85
959,2014-08-19,76.75
960,2014-08-20,76.9
961,2014-08-21,77.0
962,2014-08-22,76.9
963,2014-08-23,76.9
964,2014-08-24,76.9
965,2014-08-25,76.9
966,2014-08-26,77.0
967,2014-08-27,77.0
968,2014-08-28,77.0
969,2014-08-29,76.95
970,2014-08-30,76.95
971,2014-08-31,76.95
972,2014-09-01,77.15
973,2014-09-02,76.55
974,2014-09-03,76.15
975,2014-09-04,75.6
976,2014-09-05,75.2
977,2014-09-06,75.2
978,2014-09-07,75.2
979,2014-09-08,75.9
980,2014-09-09,75.2
981,2014-09-10,75.35
982,2014-09-11,75.5
983,2014-09-12,75.75
984,2014-09-13,75.75
985,2014-09-14,75.75
986,2014-09-15,75.55
987,2014-09-16,75.25
988,2014-09-17,75.25
989,2014-09-18,75.2
990,2014-09-19,75.1
991,2014-09-20,75.1
992,2014-09-21,75.1
993,2014-09-22,75.05
994,2014-09-23,75.05
995,2014-09-24,75.0
996,2014-09-25,75.0
997,2014-09-26,75.0
998,2014-09-27,75.0
999,2014-09-28,75.0
1000,2014-09-29,72.15
1001,2014-09-30,72.2
1002,2014-10-01,72.65
1003,2014-10-02,73.2
1004,2014-10-03,72.4
1005,2014-10-04,72.4
1006,2014-10-05,72.4
1007,2014-10-06,72.2
1008,2014-10-07,72.35
1009,2014-10-08,72.65
1010,2014-10-09,72.35
1011,2014-10-10,72.45
1012,2014-10-11,72.45
1013,2014-10-12,72.45
1014,2014-10-13,72.2
1015,2014-10-14,72.1
1016,2014-10-15,72.15
1017,2014-10-16,71.95
1018,2014-10-17,71.95
1019,2014-10-18,71.95
1020,2014-10-19,71.95
1021,2014-10-20,72.0
1022,2014-10-21,72.2
1023,2014-10-22,72.9
1024,2014-10-23,73.0
1025,2014-10-24,72.95
1026,2014-10-25,72.95
1027,2014-10-26,72.95
1028,2014-10-27,72.85
1029,2014-10-28,72.7
1030,2014-10-29,72.85
1031,2014-10-30,72.85
1032,2014-10-31,72.85
1033,2014-11-01,72.85
1034,2014-11-02,72.85
1035,2014-11-03,72.0
1036,2014-11-04,71.55
1037,2014-11-05,71.55
1038,2014-11-06,71.25
1039,2014-11-07,71.9
1040,2014-11-08,71.9
1041,2014-11-09,71.9
1042,2014-11-10,73.05
1043,2014-11-11,73.65
1044,2014-11-12,73.4
1045,2014-11-13,73.65
1046,2014-11-14,73.4
1047,2014-11-15,73.4
1048,2014-11-16,73.4
1049,2014-11-17,73.9
1050,2014-11-18,74.15
1051,2014-11-19,73.95
1052,2014-11-20,73.9
1053,2014-11-21,74.05
1054,2014-11-22,74.05
1055,2014-11-23,74.05
1056,2014-11-24,73.95
1057,2014-11-25,74.05
1058,2014-11-26,74.05
1059,2014-11-27,74.05
1060,2014-11-28,73.9
1061,2014-11-29,73.9
1062,2014-11-30,73.9
1063,2014-12-01,73.15
1064,2014-12-02,72.6
1065,2014-12-03,72.2
