,Date,Shipping_price,Gas_consumtion
413,2011-02-21,"1 295,000","4958,8599"
414,2011-02-22,"1 279,000","5218,9101"
415,2011-02-23,"1 253,000","5229,599091"
416,2011-02-24,"1 242,000","4935,43927"
417,2011-02-25,"1 245,000","4524,366155"
418,2011-02-26,"1 251,000","3961,666253"
419,2011-02-27,"1 251,000","3837,248879"
420,2011-02-28,"1 251,000","4044,217882"
421,2011-03-01,"1 262,000","4052,995807"
422,2011-03-02,"1 281,000","4161,469638"
423,2011-03-03,"1 317,000","4257,159526"
424,2011-03-04,"1 346,000","4203,128525"
425,2011-03-05,"1 382,000","3887,241521"
426,2011-03-06,"1 382,000","3966,096075"
427,2011-03-07,"1 382,000","4282,503366"
428,2011-03-08,"1 424,000","4038,891733"
429,2011-03-09,"1 472,000","3640,155936"
430,2011-03-10,"1 538,000","3342,100657"
431,2011-03-11,"1 562,000","3281,620955"
432,2011-03-12,"1 559,000","2945,596781"
433,2011-03-13,"1 559,000","2768,177742"
434,2011-03-14,"1 559,000","2872,323883"
435,2011-03-15,"1 548,000","2832,440013"
436,2011-03-16,"1 538,000","3003,286996"
437,2011-03-17,"1 533,000","3222,622495"
438,2011-03-18,"1 531,000","3335,513697"
439,2011-03-19,"1 531,000","3287,133949"
440,2011-03-20,"1 531,000","3371,023038"
441,2011-03-21,"1 531,000","3485,058862"
442,2011-03-22,"1 543,000","3263,614845"
443,2011-03-23,"1 565,000","3085,672099"
444,2011-03-24,"1 583,000","2888,118762"
445,2011-03-25,"1 585,000","2766,455215"
446,2011-03-26,"1 585,000","2799,628963"
447,2011-03-27,"1 585,000","2957,308102"
448,2011-03-28,"1 585,000","3251,960649"
449,2011-03-29,"1 572,000","3159,51331"
450,2011-03-30,"1 545,000","2831,220926"
451,2011-03-31,"1 530,000","2562,859627"
452,2011-04-01,"1 520,000","2315,966068"
453,2011-04-02,"1 498,000","2007,612748"
454,2011-04-03,"1 498,000","1964,309179"
455,2011-04-04,"1 498,000","2353,248058"
456,2011-04-05,"1 462,000","2379,620628"
457,2011-04-06,"1 430,000","2197,210924"
458,2011-04-07,"1 401,000","2193,759492"
459,2011-04-08,"1 376,000","2199,511749"
460,2011-04-09,"1 359,000","2175,380805"
461,2011-04-10,"1 359,000","2205,89728"
462,2011-04-11,"1 359,000","2148,367577"
463,2011-04-12,"1 342,000","2500,012067"
464,2011-04-13,"1 324,000","2767,46234"
465,2011-04-14,"1 309,000","2851,751695"
466,2011-04-15,"1 296,000","2799,80991"
467,2011-04-16,"1 284,000","2485,540659"
468,2011-04-17,"1 284,000","2357,422528"
469,2011-04-18,"1 284,000","2306,79486"
470,2011-04-19,"1 271,000","2118,207254"
471,2011-04-20,"1 262,000","1983,308486"
472,2011-04-21,"1 254,000","1858,127376"
473,2011-04-22,"1 250,000","1538,461679"
474,2011-04-23,"1 250,000","1639,83956"
475,2011-04-24,"1 250,000","1488,713499"
476,2011-04-25,"1 250,000","1506,832796"
477,2011-04-26,"1 250,000","1862,498158"
478,2011-04-27,"1 259,000","2002,483555"
479,2011-04-28,"1 269,000","1965,133792"
480,2011-04-29,"1 292,000","1927,438212"
481,2011-04-30,"1 292,000","1892,512894"
482,2011-05-01,"1 292,000","1762,344756"
483,2011-05-02,"1 292,000","2276,461875"
484,2011-05-03,"1 292,000","2533,659151"
485,2011-05-04,"1 302,000","2659,34547"
486,2011-05-05,"1 314,000","2486,82508"
487,2011-05-06,"1 340,000","2144,205788"
488,2011-05-07,"1 348,000","1807,094562"
489,2011-05-08,"1 348,000","1617,438426"
490,2011-05-09,"1 348,000","1575,590993"
491,2011-05-10,"1 344,000","1514,258467"
492,2011-05-11,"1 334,000","1516,600148"
493,2011-05-12,"1 320,000","1647,950057"
494,2011-05-13,"1 306,000","1725,837653"
495,2011-05-14,"1 291,000","1778,751508"
496,2011-05-15,"1 291,000","1964,138805"
497,2011-05-16,"1 291,000","2071,483062"
498,2011-05-17,"1 274,000","1975,297092"
499,2011-05-18,"1 271,000","1792,912073"
500,2011-05-19,"1 329,000","1688,759592"
501,2011-05-20,"1 349,000","1610,062813"
502,2011-05-21,"1 369,000","1501,27399"
503,2011-05-22,"1 369,000","1507,623392"
504,2011-05-23,"1 369,000","1523,442023"
505,2011-05-24,"1 398,000","1627,425042"
506,2011-05-25,"1 446,000","1647,440183"
507,2011-05-26,"1 467,000","1572,764615"
508,2011-05-27,"1 474,000","1778,064871"
509,2011-05-28,"1 480,000","1727,46339"
510,2011-05-29,"1 480,000","1615,906359"
511,2011-05-30,"1 480,000","1503,84177"
512,2011-05-31,"1 480,000","1623,182355"
513,2011-06-01,"1 485,000","1787,978977"
514,2011-06-02,"1 489,000","1480,371087"
515,2011-06-03,"1 489,000","1536,772106"
516,2011-06-04,"1 484,000","1422,134911"
517,2011-06-05,"1 484,000","1315,172394"
518,2011-06-06,"1 484,000","1342,342382"
519,2011-06-07,"1 456,000","1381,762201"
520,2011-06-08,"1 434,000","1540,665747"
521,2011-06-09,"1 428,000","1669,931488"
522,2011-06-10,"1 418,000","1629,079173"
523,2011-06-11,"1 412,000","1662,947611"
524,2011-06-12,"1 412,000","1381,097556"
525,2011-06-13,"1 412,000","1309,662264"
526,2011-06-14,"1 400,000","1517,059995"
527,2011-06-15,"1 405,000","1401,508703"
528,2011-06-16,"1 424,000","1424,739466"
529,2011-06-17,"1 423,000","1444,483195"
530,2011-06-18,"1 418,000","1535,580655"
531,2011-06-19,"1 418,000","1671,698684"
532,2011-06-20,"1 418,000","1699,212937"
533,2011-06-21,"1 409,000","1558,015688"
534,2011-06-22,"1 406,000","1522,021346"
535,2011-06-23,"1 414,000","1516,766865"
536,2011-06-24,"1 424,000","1657,246661"
537,2011-06-25,"1 442,000","1611,032741"
538,2011-06-26,"1 442,000","1523,191907"
539,2011-06-27,"1 442,000","1418,240677"
540,2011-06-28,"1 438,000","1327,970246"
541,2011-06-29,"1 420,000","1348,464252"
542,2011-06-30,"1 413,000","1523,14207"
543,2011-07-01,"1 422,000","1651,973279"
544,2011-07-02,"1 419,000","1677,912075"
545,2011-07-03,"1 419,000","1692,816393"
546,2011-07-04,"1 419,000","1659,95769"
