,Date,Industrial_prod
4284,2019-01-22,103.6851
4285,2019-01-23,103.6851
4286,2019-01-24,103.6851
4287,2019-01-25,103.6851
4288,2019-01-26,103.6851
4289,2019-01-27,103.6851
4290,2019-01-28,103.6851
4291,2019-01-29,103.6851
4292,2019-01-30,103.6851
4293,2019-01-31,103.6851
4294,2019-02-01,103.284
4295,2019-02-02,103.284
4296,2019-02-03,103.284
4297,2019-02-04,103.284
4298,2019-02-05,103.284
4299,2019-02-06,103.284
4300,2019-02-07,103.284
4301,2019-02-08,103.284
4302,2019-02-09,103.284
4303,2019-02-10,103.284
4304,2019-02-11,103.284
4305,2019-02-12,103.284
4306,2019-02-13,103.284
4307,2019-02-14,103.284
4308,2019-02-15,103.284
4309,2019-02-16,103.284
4310,2019-02-17,103.284
4311,2019-02-18,103.284
4312,2019-02-19,103.284
4313,2019-02-20,103.284
4314,2019-02-21,103.284
4315,2019-02-22,103.284
4316,2019-02-23,103.284
4317,2019-02-24,103.284
4318,2019-02-25,103.284
4319,2019-02-26,103.284
4320,2019-02-27,103.284
4321,2019-02-28,103.284
4322,2019-03-01,104.3871
4323,2019-03-02,104.3871
4324,2019-03-03,104.3871
4325,2019-03-04,104.3871
4326,2019-03-05,104.3871
4327,2019-03-06,104.3871
4328,2019-03-07,104.3871
4329,2019-03-08,104.3871
4330,2019-03-09,104.3871
4331,2019-03-10,104.3871
4332,2019-03-11,104.3871
4333,2019-03-12,104.3871
4334,2019-03-13,104.3871
4335,2019-03-14,104.3871
4336,2019-03-15,104.3871
4337,2019-03-16,104.3871
4338,2019-03-17,104.3871
4339,2019-03-18,104.3871
4340,2019-03-19,104.3871
4341,2019-03-20,104.3871
4342,2019-03-21,104.3871
4343,2019-03-22,104.3871
4344,2019-03-23,104.3871
4345,2019-03-24,104.3871
4346,2019-03-25,104.3871
4347,2019-03-26,104.3871
4348,2019-03-27,104.3871
4349,2019-03-28,104.3871
4350,2019-03-29,104.3871
4351,2019-03-30,104.3871
4352,2019-03-31,104.3871
4353,2019-04-01,102.9832
4354,2019-04-02,102.9832
4355,2019-04-03,102.9832
4356,2019-04-04,102.9832
4357,2019-04-05,102.9832
4358,2019-04-06,102.9832
4359,2019-04-07,102.9832
4360,2019-04-08,102.9832
4361,2019-04-09,102.9832
4362,2019-04-10,102.9832
4363,2019-04-11,102.9832
4364,2019-04-12,102.9832
4365,2019-04-13,102.9832
4366,2019-04-14,102.9832
4367,2019-04-15,102.9832
4368,2019-04-16,102.9832
4369,2019-04-17,102.9832
4370,2019-04-18,102.9832
4371,2019-04-19,102.9832
4372,2019-04-20,102.9832
4373,2019-04-21,102.9832
4374,2019-04-22,102.9832
4375,2019-04-23,102.9832
4376,2019-04-24,102.9832
4377,2019-04-25,102.9832
4378,2019-04-26,102.9832
4379,2019-04-27,102.9832
4380,2019-04-28,102.9832
4381,2019-04-29,102.9832
4382,2019-04-30,102.9832
4383,2019-05-01,103.4846
4384,2019-05-02,103.4846
4385,2019-05-03,103.4846
4386,2019-05-04,103.4846
4387,2019-05-05,103.4846
4388,2019-05-06,103.4846
4389,2019-05-07,103.4846
4390,2019-05-08,103.4846
4391,2019-05-09,103.4846
4392,2019-05-10,103.4846
4393,2019-05-11,103.4846
4394,2019-05-12,103.4846
4395,2019-05-13,103.4846
4396,2019-05-14,103.4846
4397,2019-05-15,103.4846
4398,2019-05-16,103.4846
4399,2019-05-17,103.4846
4400,2019-05-18,103.4846
4401,2019-05-19,103.4846
